GPCODE,GPNAME,latitude,longitude,elevation
107777,ADHATA,22.87649999518813,88.53034990659572,7.0
107778,AMDANGA,22.804946779762265,88.50961366450916,5.0
107779,BERABERIA,22.77541760455084,88.44586402742692,7.0
107780,BODAI,22.7930050666728,88.47801808816678,6.0
107781,CHANDIGARH,22.865638306682047,88.48422220761489,4.0
107782,MARICHA,22.915610145715505,88.52656344194293,9.0
107783,SADHANPUR,22.836689283126614,88.50403436810248,12.0
107784,TARABERIA,22.821180120142344,88.46001493875849,5.0
